gt,generated,psnr,ssim,lpips,loe
10069_00_10s.ARW,test_10069_06_0.1s.png,29.671328455684698,0.9432748,0.19510136544704437,85.3472
10069_00_10s.ARW,test_10069_07_0.1s.png,29.67564558679574,0.94329906,0.1956918090581894,85.0884
10069_00_10s.ARW,test_10069_08_0.1s.png,29.697651276995988,0.94324845,0.193992018699646,84.998
10069_00_10s.ARW,test_10069_09_0.1s.png,29.723259717024657,0.9431477,0.19587890803813934,85.7496
10074_00_30s.ARW,test_10074_00_0.1s.png,23.884550293954618,0.6571382,0.6328751444816589,398.296
10074_00_30s.ARW,test_10074_01_0.1s.png,24.059394546007425,0.6600573,0.6295905709266663,403.5592
10074_00_30s.ARW,test_10074_02_0.1s.png,23.984589668096593,0.6567846,0.6332555413246155,400.1012
10074_00_30s.ARW,test_10074_03_0.1s.png,24.049574398913247,0.6581092,0.6322701573371887,397.6548
10074_00_30s.ARW,test_10074_04_0.1s.png,23.94525237741359,0.658337,0.6301913261413574,397.0752
10074_00_30s.ARW,test_10074_05_0.1s.png,24.0985219321303,0.6583359,0.6311670541763306,407.7952
10074_00_30s.ARW,test_10074_06_0.1s.png,23.92881005683821,0.65620065,0.6352289319038391,399.6988
10074_00_30s.ARW,test_10074_07_0.1s.png,23.990329646930945,0.6570862,0.6323704719543457,392.1888
10074_00_30s.ARW,test_10074_08_0.1s.png,23.984634726380083,0.65825194,0.6335080862045288,394.7268
10074_00_30s.ARW,test_10074_09_0.1s.png,23.971511075514552,0.6557501,0.6313711404800415,400.1896
10077_00_30s.ARW,test_10077_00_0.1s.png,23.25776848106176,0.63213855,0.5136018991470337,263.8916
10077_00_30s.ARW,test_10077_01_0.1s.png,23.42109542422086,0.6327288,0.5120681524276733,259.1672
10077_00_30s.ARW,test_10077_02_0.1s.png,23.2755541923281,0.63255805,0.5120545625686646,263.0468
10077_00_30s.ARW,test_10077_03_0.1s.png,23.213410354974798,0.6304329,0.514173686504364,266.0392
10077_00_30s.ARW,test_10077_04_0.1s.png,23.181845595815975,0.6295461,0.5138012170791626,260.9436
10077_00_30s.ARW,test_10077_05_0.1s.png,23.220469467803582,0.6302374,0.5151448845863342,262.9784
10077_00_30s.ARW,test_10077_06_0.1s.png,23.202355090655455,0.6305539,0.5123313665390015,264.9888
10077_00_30s.ARW,test_10077_07_0.1s.png,23.058077836446603,0.6277464,0.5146266222000122,261.116
10077_00_30s.ARW,test_10077_08_0.1s.png,23.065653050756527,0.6272263,0.5181241035461426,254.436
10077_00_30s.ARW,test_10077_09_0.1s.png,23.215852813271027,0.62930846,0.5125413537025452,256.7376
10082_00_30s.ARW,test_10082_00_0.1s.png,25.556098251283785,0.70812345,0.487504780292511,249.24
10082_00_30s.ARW,test_10082_01_0.1s.png,25.651175315701728,0.7079713,0.48597973585128784,249.5952
10082_00_30s.ARW,test_10082_02_0.1s.png,25.51149806207019,0.70677584,0.4845706820487976,250.7036
10082_00_30s.ARW,test_10082_03_0.1s.png,25.597457085133076,0.70890045,0.48615705966949463,265.8792
10082_00_30s.ARW,test_10082_04_0.1s.png,25.65044941732055,0.7087583,0.4862697422504425,246.6344
10082_00_30s.ARW,test_10082_05_0.1s.png,25.512743068021297,0.70714784,0.4858205318450928,250.1532
10082_00_30s.ARW,test_10082_06_0.1s.png,25.642748016099354,0.70909876,0.4844047725200653,249.6864
