gt,generated,psnr,ssim,lpips
10022_00_10s.ARW,test_10022_01_0.1s.png,29.161241538523647,0.8290586,0.39883682131767273
10022_00_10s.ARW,test_10022_02_0.1s.png,29.154210522799517,0.82904524,0.3985889256000519
10022_00_10s.ARW,test_10022_03_0.1s.png,29.181754675806655,0.829576,0.3997640609741211
10022_00_10s.ARW,test_10022_04_0.1s.png,29.11335496101975,0.8284332,0.3978714942932129
10022_00_10s.ARW,test_10022_05_0.1s.png,29.181019766815307,0.82935864,0.3985736072063446
10022_00_10s.ARW,test_10022_06_0.1s.png,29.171606939465082,0.82923585,0.397847980260849
10022_00_10s.ARW,test_10022_07_0.1s.png,29.129346944643707,0.82886624,0.398933470249176
10022_00_10s.ARW,test_10022_08_0.1s.png,29.15595746374485,0.8289246,0.3982037901878357
10022_00_10s.ARW,test_10022_09_0.1s.png,29.163101257030924,0.829145,0.39900386333465576
10030_00_10s.ARW,test_10030_00_0.04s.png,26.178811076600887,0.85049015,0.3060610890388489
10030_00_10s.ARW,test_10030_00_0.1s.png,26.8939429245945,0.8780616,0.2459402233362198
10030_00_10s.ARW,test_10030_01_0.04s.png,25.96052669639444,0.84926987,0.30652478337287903
10030_00_10s.ARW,test_10030_01_0.1s.png,26.880812249340735,0.8779735,0.2450982630252838
10030_00_10s.ARW,test_10030_02_0.1s.png,26.916627773370102,0.8780592,0.24568051099777222
10030_00_10s.ARW,test_10030_03_0.1s.png,26.882244827764076,0.8779258,0.24550625681877136
10030_00_10s.ARW,test_10030_04_0.1s.png,26.923085930767847,0.8780424,0.24547633528709412
10030_00_10s.ARW,test_10030_05_0.1s.png,26.89076209475902,0.87773275,0.24565410614013672
10030_00_10s.ARW,test_10030_06_0.1s.png,26.894348524754143,0.8774743,0.24581003189086914
10030_00_10s.ARW,test_10030_07_0.1s.png,26.87709412327539,0.87775517,0.2457685023546219
10030_00_10s.ARW,test_10030_08_0.1s.png,26.85092284219937,0.87750286,0.245408296585083
10030_00_10s.ARW,test_10030_09_0.1s.png,26.84433871222572,0.8775019,0.2456003874540329
10032_00_10s.ARW,test_10032_00_0.04s.png,30.044432092365888,0.9113772,0.2598196864128113
10032_00_10s.ARW,test_10032_00_0.1s.png,32.06216740128509,0.93300986,0.26751330494880676
10032_00_10s.ARW,test_10032_01_0.04s.png,30.087981412351546,0.9122069,0.25927263498306274
10032_00_10s.ARW,test_10032_01_0.1s.png,32.06545517509605,0.93311214,0.2681800425052643
10032_00_10s.ARW,test_10032_02_0.1s.png,32.059592777782285,0.9331543,0.26707208156585693
10032_00_10s.ARW,test_10032_03_0.1s.png,32.04373915265259,0.9330415,0.26808756589889526
10032_00_10s.ARW,test_10032_04_0.1s.png,32.04399540782203,0.93300647,0.2682405114173889
10032_00_10s.ARW,test_10032_05_0.1s.png,32.02888757608299,0.9329198,0.26835012435913086
10032_00_10s.ARW,test_10032_06_0.1s.png,32.06858979373158,0.9332967,0.26789790391921997
10032_00_10s.ARW,test_10032_07_0.1s.png,32.07502483244923,0.93319494,0.2679339647293091
10032_00_10s.ARW,test_10032_08_0.1s.png,31.97938956405393,0.93259495,0.2683436870574951
10032_00_10s.ARW,test_10032_09_0.1s.png,32.00620513213029,0.93307906,0.2682560682296753
10035_00_10s.ARW,test_10035_00_0.04s.png,30.236089279650272,0.8851061,0.28640395402908325
10035_00_10s.ARW,test_10035_00_0.1s.png,33.42972830637383,0.9237695,0.25075089931488037
10035_00_10s.ARW,test_10035_01_0.04s.png,30.135140277090706,0.8844592,0.2866060137748718
10035_00_10s.ARW,test_10035_01_0.1s.png,33.43527239067912,0.9238489,0.2507132887840271
10035_00_10s.ARW,test_10035_02_0.1s.png,33.44032842209971,0.9240008,0.2516014277935028
10035_00_10s.ARW,test_10035_03_0.1s.png,33.444578695750394,0.9240739,0.2509801387786865
10035_00_10s.ARW,test_10035_04_0.1s.png,33.442138689083734,0.92400247,0.25096848607063293
10035_00_10s.ARW,test_10035_05_0.1s.png,33.086289477484804,0.92069024,0.2510835826396942
10035_00_10s.ARW,test_10035_06_0.1s.png,33.19902856947307,0.922487,0.25180041790008545
10035_00_10s.ARW,test_10035_07_0.1s.png,33.43665543497412,0.92389536,0.25074177980422974
10035_00_10s.ARW,test_10035_08_0.1s.png,33.42789864088037,0.92359513,0.2502860724925995
